Opleiding;Student;Roepnaam;Familienaam;ID Opleidingsond.;Opleidingsonderdeel;STP;Academische periode;Score Januari;Score Juni;Score na juni;Score September;Score 1e kans;Score 2e kans;Score;Tolerantie
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13984;Bachelorproef (Semester 2);4;Tweede Semester;#;#;#;#;B;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13982;RZL;3;Tweede Semester;#;#;#;#;PASS;#;PASS; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z15778;Smart Environments Project;4;Eerste Semester;#;#;#;#;B;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13976;Data Visualisation for IoT;4;Eerste Semester;#;#;#;#;B;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13980;Professional Skills 3;3;Academiejaar;#;#;#;#;PASS;#;PASS; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13981;Project 4.0;8;Academiejaar;#;#;#;#;A;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z15775;Communication Technology Advanced;4;Eerste Semester;#;#;#;#;A;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13972;Cordova;3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13975;Embedded Devices Advanced;4;Eerste Semester;#;#;#;#;A;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z15777;IoT in the Cloud;3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;#;Niet toegewezen;20;Niet toegewezen;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25066;Application Development in Java;4;Tweede Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25075;Webdesign Advanced;4;Tweede Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25063;IoT Essentials;4;Tweede Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25073;Data Analysis with SQL;4;Tweede Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25064;English 1;4;Academiejaar;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25065;IT Essentials;3;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25067;Linux Essentials;4;Eerste Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25068;Network Essentials;4;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25071;Orientation Project 1;3;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25072;Orientation Project 2;3;Tweede Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25070;Professional Skills 1;3;Academiejaar;#;#;#;#;PASS;#;PASS; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25499;Programming Essentials;6;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25069;Switching, Routing and Wireless Essentia;4;Tweede Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25500;Webdesign Essentials;6;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0659735;Thomas;Jane;Z25076;Windows System Administration;4;Tweede Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0382235;John;Cleese;Z13984;Bachelorproef (Semester 2);4;Tweede Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0382235;John;Cleese;Z13983;Stage (Semester 2);20;Tweede Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0382235;John;Cleese;Z13986;Augmented Reality and Mobile App Develop;5;Eerste Semester;#;#;#;#;C;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25827;Requirements Analysis (EN);8;Eerste Semester;#;#;#;#;F;C;C; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z14469;Intercultural communication;5;Eerste Semester;#;#;#;#;F;F;F; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25831;DevOps & Security (EN);3;Eerste Semester;#;#;#;#;F;C;C; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25835;Java Advanced (EN);4;Tweede Semester;#;#;#;#;C;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25833;Data Visualisation (EN);4;Eerste Semester;#;#;#;#;F;C;C; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25828;Cordova (EN);3;Eerste Semester;#;#;#;#;F;D;D;AT
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25832;ASP.NET MVC (EN);3;Tweede Semester;#;#;#;#;F;A;A; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25838;.NET Development (EN);3;Tweede Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z15799;IoT Essentials (EN);4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z15801;Switching, Routing and Wireless Essenti;4;Tweede Semester;#;#;#;#;ZERO;F;F; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25834;Business Processes & ITIL (EN);5;Tweede Semester;#;#;#;#;C;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25839;Professional Skills 2 (EN);3;Academiejaar;#;#;#;#;FAIL;F;FAIL; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25837;UML (EN);3;Tweede Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25836;Project PHP (EN);5;Tweede Semester;#;#;#;#;F;F;F; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25830;Web Applications in PHP (EN);4;Eerste Semester;#;#;#;#;F;C;C; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25826;Entrepreneurship (EN);4;Tweede Semester;#;#;#;#;F;B;B; #
PBA Applied Computer Science - Engl progr (Geel);0494926;Samuel;L. Jackson;Z25829;Linux Webservices (EN);3;Eerste Semester;#;#;#;#;ZERO;F;ZERO; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25066;Application Development in Java;4;Tweede Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25075;Webdesign Advanced;4;Tweede Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25063;IoT Essentials;4;Tweede Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25073;Data Analysis with SQL;4;Tweede Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25065;IT Essentials;3;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25067;Linux Essentials;4;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25068;Network Essentials;4;Eerste Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25071;Orientation Project 1;3;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25072;Orientation Project 2;3;Tweede Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25070;Professional Skills 1;3;Academiejaar;#;#;#;#;PASS;#;PASS; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25499;Programming Essentials;6;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25069;Switching, Routing and Wireless Essentia;4;Tweede Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25500;Webdesign Essentials;6;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0436565;Rebecca;Hall;Z25076;Windows System Administration;4;Tweede Semester;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25066;Application Development in Java;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25075;Webdesign Advanced;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25063;IoT Essentials;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25073;Data Analysis with SQL;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25064;English 1;4;Academiejaar;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25065;IT Essentials;3;Eerste Semester;#;#;#;#;D;F;D; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25067;Linux Essentials;4;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25068;Network Essentials;4;Eerste Semester;#;#;#;#;D;C;C; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25071;Orientation Project 1;3;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25072;Orientation Project 2;3;Tweede Semester;#;#;#;#;F;#;F; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25070;Professional Skills 1;3;Academiejaar;#;#;#;#;FAIL;#;FAIL; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25499;Programming Essentials;6;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25069;Switching, Routing and Wireless Essentia;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25500;Webdesign Essentials;6;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0377307;Guinevere;Turner;Z25076;Windows System Administration;4;Tweede Semester;#;#;#;#;D;B;B; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25066;Application Development in Java;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25075;Webdesign Advanced;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25063;IoT Essentials;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25073;Data Analysis with SQL;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25064;English 1;4;Academiejaar;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25065;IT Essentials;3;Eerste Semester;#;#;#;#;D;F;D; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25067;Linux Essentials;4;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0329797;Tom;Van Dyck;Z25068;Network Essentials;4;Eerste Semester;#;#;#;#;D;F;D; #
