Opleiding;Student;Roepnaam;Familienaam;ID Opleidingsond.;Opleidingsonderdeel;STP;Academische periode;Score Januari;Score Juni;Score na juni;Score September;Score 1e kans;Score 2e kans;Score;Tolerantie
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z14469;Intercultural communication;5;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25833;Data Visualisation (EN);4;Eerste Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z16468;Data Science (EN);3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25834;Business Processes & ITIL (EN);5;Tweede Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25826;Entrepreneurship (EN);4;Tweede Semester;#;#;#;#;C;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25831;DevOps & Security (EN);3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25836;Project PHP (EN);5;Tweede Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25827;Requirements Analysis (EN);8;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25835;Java Advanced (EN);4;Tweede Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z16469;.NET Development (EN);6;Tweede Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25837;UML (EN);3;Tweede Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25829;Linux Webservices (EN);3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25839;Professional Skills 2 (EN);3;Academiejaar;#;#;#;#;PASS;#;PASS; #
PBA Applied Computer Science - Engl progr (Geel);0695574;Shane;Rimmer;Z25830;Web Applications in PHP (EN);4;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0539366;Sally;Hawkins;Z25075;Webdesign Advanced;4;Tweede Semester;#;#;#;#;ZERO;F;ZERO; #
PBA Toegepaste Informatica (Geel);0539366;Sally;Hawkins;Z25073;Data Analysis with SQL;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0539366;Sally;Hawkins;Z25066;Application Development in Java;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0539366;Sally;Hawkins;Z25064;English 1;4;Academiejaar;#;#;#;#;D;F;D; #
PBA Toegepaste Informatica (Geel);0539366;Sally;Hawkins;Z25065;IT Essentials;3;Eerste Semester;#;#;#;#;C;#;C; #
